@relation loanDefault
@attribute Loan_Amount REAL
@attribute Term { '36 months','60 months' }
@attribute Interest_Rate REAL
@attribute Employment_Length { '< 1 year','1 year','2 years','3 years','4 years','5 years','6 years','7 years','8 years','9 years','10+ years','n/a'}
@attribute Home_Ownership { 'OWN','RENT','MORTGAGE','NONE','OTHER'}
@attribute Annual_Income REAL
@attribute Debt_to_Income REAL
@attribute Credit_Score REAL
@attribute Class {'Fully Paid','Charged Off'}
@DATA
18000,'60 months',0.1922,'10+ years','RENT',50000,18.27,664,'Charged Off'
30000,'60 months',0.205,'< 1 year','RENT',83000,23.21,719,'Charged Off'
5375,'36 months',0.1699,'< 1 year','MORTGAGE',43000,16.8,709,'Charged Off'
6600,'36 months',0.1498,'10+ years','MORTGAGE',20000,10.02,664,'Charged Off'
12375,'60 months',0.229,'10+ years','RENT',35000,15.81,669,'Charged Off'
15000,'36 months',0.079,'10+ years','MORTGAGE',60000,21.04,714,'Charged Off'
13750,'60 months',0.1997,'10+ years','MORTGAGE',46000,16.54,679,'Charged Off'
6075,'36 months',0.1498,'3 years','RENT',52550,15.21,664,'Charged Off'
27050,'36 months',0.1624,'3 years','RENT',65000,22.8,664,'Charged Off'
11325,'36 months',0.089,'4 years','RENT',60000,25.66,684,'Charged Off'
18500,'36 months',0.1199,'10+ years','MORTGAGE',76500,21.38,714,'Charged Off'
15000,'60 months',0.1353,'10+ years','MORTGAGE',33600,26.07,684,'Charged Off'
12000,'60 months',0.1498,'10+ years','MORTGAGE',100000,21.66,679,'Charged Off'
15000,'60 months',0.1561,'10+ years','MORTGAGE',50000,15.05,679,'Charged Off'
17500,'36 months',0.0762,'n/a','MORTGAGE',40000,17.84,714,'Charged Off'
10000,'60 months',0.1447,'7 years','MORTGAGE',71000,33.07,739,'Charged Off'
6000,'36 months',0.1285,'8 years','MORTGAGE',54000,17.24,684,'Charged Off'
10000,'60 months',0.1561,'4 years','MORTGAGE',64000,13.29,669,'Charged Off'
10000,'36 months',0.1199,'10+ years','MORTGAGE',73000,14.12,699,'Charged Off'
4800,'36 months',0.1498,'< 1 year','RENT',20800,14.85,694,'Charged Off'
11625,'36 months',0.1498,'5 years','OWN',30000,27.8,689,'Charged Off'
7000,'36 months',0.1561,'< 1 year','MORTGAGE',35000,29.8,679,'Charged Off'
10000,'36 months',0.1099,'< 1 year','RENT',63000,15.37,689,'Charged Off'
15000,'60 months',0.1624,'n/a','MORTGAGE',38040,25.49,669,'Charged Off'
20000,'60 months',0.224,'4 years','MORTGAGE',100000,17.3,694,'Charged Off'
24000,'60 months',0.229,'10+ years','MORTGAGE',70000,18.84,674,'Charged Off'
11000,'36 months',0.1099,'< 1 year','RENT',32000,5.25,689,'Charged Off'
22750,'60 months',0.1825,'< 1 year','RENT',57557,15.45,689,'Charged Off'
16000,'60 months',0.1498,'2 years','MORTGAGE',110000,9.67,669,'Charged Off'
15850,'36 months',0.1825,'10+ years','MORTGAGE',45500,15.83,669,'Charged Off'
15000,'60 months',0.1447,'5 years','RENT',45000,31.47,684,'Charged Off'
11700,'60 months',0.1922,'10+ years','RENT',56000,22.57,679,'Charged Off'
15000,'36 months',0.1997,'9 years','RENT',44200,22.9,684,'Charged Off'
32350,'60 months',0.1447,'n/a','MORTGAGE',89160,24.43,744,'Charged Off'
11200,'60 months',0.1561,'10+ years','MORTGAGE',41000,21.37,704,'Charged Off'
4000,'36 months',0.1498,'10+ years','MORTGAGE',67000,10.62,689,'Charged Off'
14075,'36 months',0.1922,'6 years','MORTGAGE',40000,16.35,669,'Charged Off'
20000,'36 months',0.1398,'10+ years','RENT',70000,12.03,674,'Charged Off'
13475,'36 months',0.1922,'< 1 year','RENT',57500,9.29,679,'Charged Off'
10200,'60 months',0.1561,'10+ years','MORTGAGE',60000,11.66,664,'Charged Off'
11325,'36 months',0.1757,'2 years','MORTGAGE',33000,26.4,679,'Charged Off'
15000,'36 months',0.2148,'3 years','MORTGAGE',160000,11.98,689,'Charged Off'
14000,'36 months',0.1398,'8 years','MORTGAGE',87000,16.86,719,'Charged Off'
29000,'60 months',0.1757,'9 years','MORTGAGE',66390,7.68,714,'Charged Off'
19425,'36 months',0.1624,'2 years','RENT',45000,27.23,669,'Charged Off'
2400,'36 months',0.237,'10+ years','RENT',25000,17.91,719,'Charged Off'
14000,'36 months',0.079,'10+ years','MORTGAGE',54000,19.47,709,'Charged Off'
15000,'60 months',0.1757,'8 years','MORTGAGE',81000,20.95,684,'Charged Off'
5850,'36 months',0.1498,'7 years','MORTGAGE',45000,7.31,679,'Charged Off'
18000,'36 months',0.1447,'1 year','MORTGAGE',75000,14.79,674,'Charged Off'
6000,'36 months',0.1699,'4 years','RENT',36192,28.75,684,'Charged Off'
13000,'36 months',0.1561,'10+ years','RENT',55000,24.35,684,'Charged Off'
15000,'36 months',0.1285,'3 years','RENT',49000,18.59,674,'Charged Off'
5125,'36 months',0.1922,'6 years','MORTGAGE',60000,23.5,689,'Charged Off'
15000,'36 months',0.2148,'10+ years','RENT',76000,4.16,664,'Charged Off'
8500,'36 months',0.1825,'7 years','OWN',83000,7.14,679,'Charged Off'
31300,'60 months',0.1997,'8 years','MORTGAGE',75000,10.62,684,'Charged Off'
5000,'36 months',0.1398,'2 years','MORTGAGE',30000,8.92,704,'Charged Off'
10000,'36 months',0.1099,'10+ years','MORTGAGE',84000,7.67,664,'Charged Off'
7000,'36 months',0.1285,'9 years','MORTGAGE',34000,18.48,709,'Charged Off'
3000,'36 months',0.1285,'4 years','RENT',70000,27.96,689,'Charged Off'
15350,'60 months',0.1624,'10+ years','MORTGAGE',105000,14.32,664,'Charged Off'
7000,'36 months',0.1199,'8 years','MORTGAGE',51000,25.01,689,'Charged Off'
4375,'36 months',0.234,'4 years','RENT',25000,12,674,'Charged Off'
18000,'36 months',0.1447,'10+ years','MORTGAGE',50000,12.7,679,'Charged Off'
7125,'36 months',0.1997,'6 years','MORTGAGE',31000,28.73,714,'Charged Off'
4000,'36 months',0.1353,'10+ years','MORTGAGE',90000,15.53,669,'Charged Off'
23500,'60 months',0.224,'10+ years','RENT',55000,34.52,709,'Charged Off'
5000,'36 months',0.1624,'2 years','RENT',30000,3.4,669,'Charged Off'
6075,'36 months',0.245,'< 1 year','RENT',30000,13.88,664,'Charged Off'
13475,'36 months',0.1561,'5 years','OWN',47000,7.23,689,'Charged Off'
5000,'60 months',0.1447,'3 years','RENT',35000,17.76,679,'Charged Off'
8575,'36 months',0.1561,'10+ years','RENT',45000,19.2,664,'Charged Off'
10000,'36 months',0.1447,'1 year','RENT',50000,21.61,679,'Charged Off'
21000,'60 months',0.1997,'1 year','RENT',118000,13.84,664,'Charged Off'
10000,'60 months',0.1624,'3 years','RENT',43000,12.48,679,'Charged Off'
27000,'60 months',0.1825,'7 years','MORTGAGE',75000,21.26,694,'Charged Off'
16000,'60 months',0.1447,'10+ years','RENT',43000,12.15,699,'Charged Off'
12500,'36 months',0.1561,'2 years','RENT',46500,28.59,674,'Charged Off'
22250,'60 months',0.205,'3 years','RENT',54000,16.81,759,'Charged Off'
28000,'60 months',0.1624,'10+ years','MORTGAGE',103000,19.2,694,'Charged Off'
8900,'36 months',0.1285,'2 years','RENT',32000,24.53,669,'Charged Off'
17825,'60 months',0.237,'10+ years','MORTGAGE',93000,20.44,669,'Charged Off'
16800,'36 months',0.1825,'8 years','RENT',50000,6.87,669,'Charged Off'
16000,'60 months',0.2148,'3 years','MORTGAGE',96000,21.8,684,'Charged Off'
25000,'60 months',0.1624,'4 years','MORTGAGE',100000,7.56,699,'Charged Off'
15350,'60 months',0.1825,'10+ years','MORTGAGE',70000,9.89,679,'Charged Off'
25000,'60 months',0.1922,'1 year','MORTGAGE',93600,9.54,674,'Charged Off'
19400,'60 months',0.1922,'2 years','MORTGAGE',90000,12.53,684,'Charged Off'
10000,'36 months',0.1199,'10+ years','OWN',53000,21.44,684,'Charged Off'
16000,'60 months',0.1624,'10+ years','MORTGAGE',64000,25.41,669,'Charged Off'
34000,'60 months',0.1922,'10+ years','RENT',86300,14.58,684,'Charged Off'
28000,'60 months',0.205,'10+ years','MORTGAGE',90000,24.93,669,'Charged Off'
15000,'36 months',0.1498,'n/a','MORTGAGE',52770,25.22,699,'Charged Off'
29100,'60 months',0.205,'< 1 year','RENT',77500,29.01,694,'Charged Off'
14000,'60 months',0.229,'9 years','RENT',61000,8.2,679,'Charged Off'
15000,'36 months',0.1199,'10+ years','RENT',162000,21.6,784,'Charged Off'
14000,'36 months',0.1285,'6 years','RENT',52000,27.93,669,'Charged Off'
25000,'36 months',0.1447,'< 1 year','MORTGAGE',137000,19.52,679,'Charged Off'
16450,'60 months',0.1825,'10+ years','OWN',54000,24.24,679,'Charged Off'
35000,'60 months',0.1699,'7 years','MORTGAGE',119000,11.08,779,'Charged Off'
7000,'36 months',0.1825,'3 years','RENT',38000,30.45,684,'Charged Off'
6625,'36 months',0.1398,'n/a','MORTGAGE',27000,26.71,684,'Charged Off'
18000,'36 months',0.1498,'10+ years','OWN',76000,11.5,669,'Charged Off'
4000,'36 months',0.1922,'8 years','MORTGAGE',69000,18.59,689,'Charged Off'
8000,'36 months',0.1498,'2 years','MORTGAGE',50000,17.91,699,'Charged Off'
10400,'60 months',0.2148,'10+ years','RENT',60000,30.38,739,'Charged Off'
7000,'36 months',0.1825,'9 years','RENT',63000,11.87,684,'Charged Off'
19750,'60 months',0.2148,'10+ years','MORTGAGE',99500,30.94,684,'Charged Off'
8000,'36 months',0.229,'n/a','OWN',48000,25.33,674,'Charged Off'
35000,'36 months',0.1498,'10+ years','MORTGAGE',80000,20.94,724,'Charged Off'
20000,'60 months',0.1624,'3 years','RENT',66700,17.45,684,'Charged Off'
15000,'36 months',0.089,'9 years','MORTGAGE',90000,9.76,704,'Charged Off'
10000,'36 months',0.1498,'10+ years','RENT',65000,12.3,679,'Charged Off'
4950,'60 months',0.234,'n/a','RENT',13800,30.35,684,'Charged Off'
30000,'60 months',0.1997,'10+ years','RENT',95000,18.77,709,'Charged Off'
25500,'60 months',0.1199,'1 year','OWN',131250,13.02,784,'Charged Off'
27000,'36 months',0.089,'6 years','MORTGAGE',135000,10.94,734,'Charged Off'
12000,'36 months',0.1398,'1 year','OWN',125000,25.51,714,'Charged Off'
15850,'60 months',0.2499,'2 years','RENT',55000,27.01,674,'Charged Off'
6250,'36 months',0.1498,'< 1 year','RENT',30000,26,674,'Charged Off'
16800,'60 months',0.205,'10+ years','MORTGAGE',80000,23.37,674,'Charged Off'
20000,'36 months',0.1997,'10+ years','MORTGAGE',75000,18.53,674,'Charged Off'
12000,'60 months',0.1561,'10+ years','MORTGAGE',48000,26.2,729,'Charged Off'
12500,'36 months',0.1498,'8 years','RENT',70000,17.25,664,'Charged Off'
7000,'36 months',0.1624,'3 years','MORTGAGE',46000,34.88,669,'Charged Off'
15000,'36 months',0.1353,'n/a','OWN',85000,21.93,679,'Charged Off'
12000,'36 months',0.1757,'3 years','MORTGAGE',85000,14.82,669,'Charged Off'
31475,'60 months',0.237,'10+ years','RENT',91426,21.02,679,'Charged Off'
28000,'60 months',0.1825,'10+ years','MORTGAGE',95000,31.13,684,'Charged Off'
19125,'60 months',0.234,'< 1 year','MORTGAGE',50000,30.1,684,'Charged Off'
6000,'36 months',0.2148,'1 year','OWN',25000,10.95,689,'Charged Off'
14000,'60 months',0.1561,'2 years','MORTGAGE',85000,10.32,674,'Charged Off'
7925,'36 months',0.1757,'7 years','RENT',27000,25.42,669,'Charged Off'
10000,'36 months',0.1447,'n/a','RENT',79896,25.85,669,'Charged Off'
23500,'60 months',0.224,'10+ years','MORTGAGE',59817,9.81,664,'Charged Off'
21850,'60 months',0.1825,'3 years','MORTGAGE',50000,21.92,674,'Charged Off'
4125,'36 months',0.237,'3 years','RENT',36000,14.03,664,'Charged Off'
5000,'36 months',0.1398,'2 years','MORTGAGE',35000,23.39,674,'Charged Off'
27300,'60 months',0.1825,'7 years','MORTGAGE',100000,8.29,684,'Charged Off'
16000,'36 months',0.1353,'4 years','RENT',54000,8.96,664,'Charged Off'
10000,'36 months',0.1099,'2 years','RENT',25000,10.1,689,'Charged Off'
22750,'60 months',0.229,'2 years','MORTGAGE',68000,26.23,694,'Charged Off'
7500,'36 months',0.2148,'10+ years','MORTGAGE',60000,13.18,669,'Charged Off'
12700,'36 months',0.1285,'< 1 year','OWN',28600,33.61,729,'Charged Off'
10000,'36 months',0.1099,'10+ years','MORTGAGE',60000,21.15,714,'Charged Off'
9000,'36 months',0.1285,'6 years','RENT',53000,17.58,699,'Charged Off'
31300,'36 months',0.1624,'3 years','RENT',85000,22.43,664,'Charged Off'
10600,'60 months',0.229,'10+ years','MORTGAGE',75000,30.62,674,'Charged Off'
15000,'60 months',0.2148,'10+ years','OWN',42000,21.57,719,'Charged Off'
10000,'36 months',0.1498,'< 1 year','RENT',40000,24.42,674,'Charged Off'
35000,'60 months',0.205,'7 years','MORTGAGE',85000,15.02,669,'Charged Off'
30000,'60 months',0.1699,'7 years','OWN',110000,10.31,694,'Charged Off'
25000,'36 months',0.2148,'2 years','RENT',75000,25.68,664,'Charged Off'
29175,'36 months',0.1922,'1 year','MORTGAGE',70000,23.33,684,'Charged Off'
12200,'60 months',0.2499,'10+ years','MORTGAGE',140000,13.2,674,'Charged Off'
12000,'60 months',0.1498,'10+ years','MORTGAGE',38000,18.92,669,'Charged Off'
35000,'60 months',0.1922,'4 years','MORTGAGE',99000,17.29,689,'Charged Off'
25000,'60 months',0.1285,'2 years','RENT',93330,12.37,729,'Charged Off'
4000,'36 months',0.1561,'10+ years','RENT',40000,16.59,679,'Charged Off'
16000,'36 months',0.1624,'7 years','RENT',100000,15.83,664,'Charged Off'
5000,'36 months',0.1199,'5 years','RENT',42000,18.79,689,'Charged Off'
25000,'60 months',0.1353,'10+ years','MORTGAGE',80000,14.61,739,'Charged Off'
16500,'60 months',0.1498,'10+ years','RENT',86000,14.62,699,'Charged Off'
9175,'36 months',0.1561,'7 years','RENT',80000,20.25,674,'Charged Off'
20350,'36 months',0.205,'3 years','MORTGAGE',68000,20.7,669,'Charged Off'
23850,'60 months',0.1561,'< 1 year','MORTGAGE',70000,29.81,694,'Charged Off'
15600,'36 months',0.089,'3 years','RENT',90000,5.8,699,'Charged Off'
14400,'60 months',0.1398,'3 years','MORTGAGE',101000,10.88,699,'Charged Off'
17875,'60 months',0.2408,'< 1 year','MORTGAGE',46000,19.7,689,'Charged Off'
19075,'60 months',0.1997,'3 years','RENT',160000,6.84,664,'Charged Off'
31300,'36 months',0.1699,'9 years','MORTGAGE',250000,10.94,694,'Charged Off'
4500,'36 months',0.1757,'4 years','RENT',30000,20.84,699,'Charged Off'
9000,'36 months',0.1561,'< 1 year','RENT',25000,23.48,664,'Charged Off'
21475,'60 months',0.229,'< 1 year','RENT',50000,23.14,679,'Charged Off'
12000,'36 months',0.1199,'< 1 year','MORTGAGE',150000,7.37,719,'Charged Off'
18000,'36 months',0.1699,'< 1 year','RENT',90000,16.01,679,'Charged Off'
14000,'60 months',0.1624,'4 years','RENT',58000,18.95,664,'Charged Off'
12000,'36 months',0.1199,'10+ years','MORTGAGE',70000,15.43,719,'Charged Off'
14000,'36 months',0.1099,'< 1 year','RENT',40000,10.53,684,'Charged Off'
11200,'60 months',0.1353,'9 years','RENT',58000,20.12,724,'Charged Off'
24000,'60 months',0.1447,'8 years','MORTGAGE',80000,10.91,729,'Charged Off'
9000,'36 months',0.1099,'1 year','MORTGAGE',43000,21.71,674,'Charged Off'
15000,'36 months',0.1447,'4 years','RENT',60000,32.84,684,'Charged Off'
20675,'60 months',0.205,'2 years','MORTGAGE',65000,15.21,719,'Charged Off'
15000,'36 months',0.1199,'5 years','RENT',62000,28.88,689,'Charged Off'
15000,'36 months',0.1447,'4 years','OWN',59000,9.72,664,'Charged Off'
12550,'60 months',0.1757,'n/a','RENT',38000,17.78,694,'Charged Off'
14600,'60 months',0.1699,'10+ years','MORTGAGE',46000,18.05,749,'Charged Off'
16000,'60 months',0.229,'< 1 year','RENT',40000,18.6,724,'Charged Off'
9600,'36 months',0.1353,'4 years','MORTGAGE',76700,24.35,674,'Charged Off'
10000,'36 months',0.1561,'7 years','MORTGAGE',53000,29.21,689,'Charged Off'
28100,'60 months',0.1997,'5 years','MORTGAGE',64000,18.19,704,'Charged Off'
11500,'60 months',0.1922,'4 years','RENT',40000,20.7,664,'Charged Off'
35000,'60 months',0.2148,'6 years','MORTGAGE',120000,11.1,689,'Charged Off'
15000,'36 months',0.0967,'7 years','RENT',100000,15.15,684,'Charged Off'
10000,'36 months',0.1353,'6 years','RENT',31000,23.77,714,'Charged Off'
12000,'36 months',0.1353,'10+ years','MORTGAGE',60000,24.17,684,'Charged Off'
8000,'36 months',0.1398,'3 years','RENT',30000,18.32,669,'Charged Off'
10000,'36 months',0.0967,'7 years','RENT',48000,5.18,699,'Charged Off'
30000,'60 months',0.1699,'10+ years','MORTGAGE',72000,19.04,674,'Charged Off'
17500,'60 months',0.224,'10+ years','RENT',50000,18.27,699,'Charged Off'
20000,'36 months',0.1285,'< 1 year','MORTGAGE',108000,10.6,679,'Charged Off'
23275,'36 months',0.1353,'7 years','MORTGAGE',72000,31.03,729,'Charged Off'
22800,'36 months',0.1825,'5 years','OWN',60000,16.72,679,'Charged Off'
13700,'36 months',0.1285,'9 years','RENT',33800,27.24,694,'Charged Off'
30750,'36 months',0.1699,'10+ years','MORTGAGE',115500,11.29,664,'Charged Off'
31825,'36 months',0.1699,'7 years','RENT',77000,8.42,664,'Charged Off'
21725,'36 months',0.1353,'10+ years','MORTGAGE',52000,16.46,689,'Charged Off'
14675,'36 months',0.1398,'n/a','RENT',35000,18.62,664,'Charged Off'
9000,'36 months',0.1498,'6 years','OWN',110000,7.67,679,'Charged Off'
14000,'60 months',0.224,'5 years','MORTGAGE',54500,28.12,679,'Charged Off'
22000,'36 months',0.1353,'n/a','RENT',96000,22.39,684,'Charged Off'
15000,'36 months',0.1398,'< 1 year','RENT',55000,18.33,674,'Charged Off'
35000,'60 months',0.1757,'10+ years','MORTGAGE',96500,13.01,679,'Charged Off'
8000,'36 months',0.1447,'< 1 year','RENT',27000,20.43,689,'Charged Off'
30750,'60 months',0.205,'9 years','MORTGAGE',70000,9.63,684,'Charged Off'
7875,'36 months',0.1353,'2 years','OWN',19000,25.65,699,'Charged Off'
8000,'36 months',0.1561,'2 years','MORTGAGE',28500,32.46,674,'Charged Off'
13000,'60 months',0.1757,'6 years','RENT',60000,10.42,664,'Charged Off'
5000,'36 months',0.1825,'< 1 year','RENT',70000,15.7,694,'Charged Off'
12000,'36 months',0.089,'10+ years','MORTGAGE',75000,13.46,684,'Charged Off'
9125,'36 months',0.1099,'5 years','RENT',50000,27.83,679,'Charged Off'
5700,'36 months',0.1699,'n/a','RENT',19000,17.25,679,'Charged Off'
9500,'36 months',0.1624,'10+ years','RENT',33000,17.67,694,'Charged Off'
31825,'60 months',0.224,'4 years','RENT',108000,12.81,674,'Charged Off'
13250,'60 months',0.1757,'10+ years','MORTGAGE',59000,16.07,674,'Charged Off'
7875,'36 months',0.1624,'< 1 year','RENT',21000,16,684,'Charged Off'
24000,'60 months',0.1561,'6 years','MORTGAGE',125000,11.57,689,'Charged Off'
6500,'36 months',0.1398,'< 1 year','RENT',42000,14.28,674,'Charged Off'
10000,'60 months',0.1699,'10+ years','MORTGAGE',45000,27.2,664,'Charged Off'
18000,'60 months',0.1398,'n/a','MORTGAGE',48000,30.05,699,'Charged Off'
21000,'60 months',0.1624,'10+ years','MORTGAGE',107000,15.21,669,'Charged Off'
7200,'36 months',0.1398,'3 years','RENT',30000,29.6,689,'Charged Off'
12000,'36 months',0.1099,'9 years','MORTGAGE',60000,12.46,684,'Charged Off'
35000,'36 months',0.1997,'10+ years','MORTGAGE',95000,12.78,674,'Charged Off'
22500,'36 months',0.1561,'10+ years','MORTGAGE',125000,22.64,684,'Charged Off'
11000,'36 months',0.1285,'2 years','RENT',46000,13.02,689,'Charged Off'
31825,'60 months',0.2408,'10+ years','RENT',84166.68,17.35,679,'Charged Off'
3000,'36 months',0.1699,'9 years','MORTGAGE',48000,14.78,684,'Charged Off'
13750,'60 months',0.237,'7 years','RENT',39500,27.44,664,'Charged Off'
15000,'60 months',0.1447,'10+ years','RENT',55000,21.62,749,'Charged Off'
15000,'60 months',0.1699,'< 1 year','RENT',105000,12.95,669,'Charged Off'
35000,'60 months',0.1498,'10+ years','OWN',85000,28.63,764,'Charged Off'
30000,'36 months',0.0967,'10+ years','MORTGAGE',100000,14.92,739,'Charged Off'
11200,'60 months',0.2499,'10+ years','RENT',38000,8.91,669,'Charged Off'
15000,'60 months',0.1561,'10+ years','RENT',42000,18.17,684,'Charged Off'
20000,'36 months',0.1099,'10+ years','MORTGAGE',60000,28.36,674,'Charged Off'
24000,'60 months',0.1447,'8 years','RENT',75000,18.33,709,'Charged Off'
9825,'36 months',0.245,'2 years','OWN',60000,17.3,694,'Charged Off'
32875,'60 months',0.205,'< 1 year','RENT',75000,25.42,689,'Charged Off'
10850,'36 months',0.2148,'< 1 year','RENT',33743,3.91,689,'Charged Off'
15600,'60 months',0.1447,'3 years','MORTGAGE',72000,17.51,719,'Charged Off'
7200,'36 months',0.1757,'6 years','RENT',57799.2,20.18,674,'Charged Off'
